severity,pipeline,metric,mean,ci95_low,ci95_high,n
0.5,raw,ssim,0.5339862503791452,0.5235136604947312,0.5472999125417898,24
0.5,raw,signal_pearson,0.8307366328713307,0.8156970519110265,0.8495238292340307,24
0.5,raw,signal_nrmse,0.12005820680254449,0.11251371125496613,0.12623742661671714,24
0.5,raw,background_fraction,0.1808914718279108,0.17601161452519218,0.18518991715950328,24
0.5,raw,registration_error_px,1.061252661049366,0.9713678231462837,1.1459066412101189,24
0.5,raw,runtime_ms,0.0594722805544734,0.05567486126286288,0.06312579644145444,24
0.5,background_only,ssim,0.5431950231432863,0.5323662111243394,0.5552899448823546,24
0.5,background_only,signal_pearson,0.8317386491317521,0.8149442534289212,0.8489886899753645,24
0.5,background_only,signal_nrmse,0.11937173882809778,0.11187157256451125,0.12515754822913247,24
0.5,background_only,background_fraction,0.1692891094611734,0.1646320160697159,0.17318946140668534,24
0.5,background_only,registration_error_px,1.061252661049366,0.9676418309410414,1.1480961305399735,24
0.5,background_only,runtime_ms,1.9423869671300054,1.8970791643369012,2.0059718755267872,24
0.5,illumination_only,ssim,0.5113131898120499,0.500418955768402,0.5229594393687901,24
0.5,illumination_only,signal_pearson,0.7857760224090079,0.7679992300735282,0.8044638950147963,24
0.5,illumination_only,signal_nrmse,0.1387451415648684,0.13057597720762715,0.14506248683319428,24
0.5,illumination_only,background_fraction,0.19394532619113847,0.18872268213839874,0.19847990574305693,24
0.5,illumination_only,registration_error_px,1.061252661049366,0.9710013316323359,1.1447905190909902,24
0.5,illumination_only,runtime_ms,5.571651068748906,5.440521026806285,5.729714285310668,24
0.5,registration_only,ssim,0.617675185953458,0.6133360352928513,0.6219057653707912,24
0.5,registration_only,signal_pearson,0.9705687242986795,0.969166489373774,0.9720641752744827,24
0.5,registration_only,signal_nrmse,0.06643329133900504,0.0642626516065017,0.06922914098540786,24
0.5,registration_only,background_fraction,0.16920923209515482,0.16584000259671947,0.1722116249154498,24
0.5,registration_only,registration_error_px,0.0408048324752599,0.03599589144772229,0.04614551476552151,24
0.5,registration_only,runtime_ms,1.452522575467204,1.139842057940162,1.9680536914772042,24
0.5,full,ssim,0.6143183529060937,0.6096660755818014,0.6186800104268545,24
0.5,full,signal_pearson,0.9219627592871203,0.9136634386769517,0.9294979388408311,24
0.5,full,signal_nrmse,0.09392412088345736,0.08972311967809218,0.09818990707281046,24
0.5,full,background_fraction,0.16194131598896847,0.15899725024843345,0.16464713487706542,24
0.5,full,registration_error_px,0.041823370615020394,0.036955486839481945,0.045972075957494474,24
0.5,full,runtime_ms,8.6301788687706,8.488676470005885,8.827813089737901,24
0.5,full_no_background,ssim,0.5925173122416386,0.5873277364287864,0.5974838049837182,24
0.5,full_no_background,signal_pearson,0.9214736653170971,0.9132953165739544,0.9292076537502347,24
0.5,full_no_background,signal_nrmse,0.09705679324300338,0.09223942801278706,0.10232676636369432,24
0.5,full_no_background,background_fraction,0.18364303352667632,0.1801058417044245,0.18726840575790749,24
0.5,full_no_background,registration_error_px,0.0425881027088811,0.03776234290950621,0.047581198468105865,24
0.5,full_no_background,runtime_ms,6.503855828971912,6.354408243835981,6.698478638281813,24
0.5,full_no_illumination,ssim,0.642351405477341,0.6377838491432184,0.6464285597435715,24
0.5,full_no_illumination,signal_pearson,0.9719561060513117,0.970614670361921,0.9732719919284714,24
0.5,full_no_illumination,signal_nrmse,0.06205971989159783,0.05964380650839303,0.06448162126665313,24
0.5,full_no_illumination,background_fraction,0.14820597791837212,0.1458280426278592,0.1507867018106352,24
0.5,full_no_illumination,registration_error_px,0.04048248170875013,0.03519105447339826,0.04603480994701385,24
0.5,full_no_illumination,runtime_ms,3.080889000557363,2.9747923535372442,3.278907139610965,24
0.5,full_no_registration,ssim,0.5196742127007137,0.5084427197121512,0.5329362255659332,24
0.5,full_no_registration,signal_pearson,0.7861771148501525,0.7691951331296185,0.8065609614669496,24
0.5,full_no_registration,signal_nrmse,0.13852904030742744,0.1316621448592438,0.1454624167488267,24
0.5,full_no_registration,background_fraction,0.1834721126003158,0.17850725571585752,0.1878003576528131,24
0.5,full_no_registration,registration_error_px,1.061252661049366,0.9665133149052659,1.1425867521514494,24
0.5,full_no_registration,runtime_ms,7.428444514516741,7.244756945874542,7.683540525855885,24
1.0,raw,ssim,0.3093732983679823,0.29283150970684585,0.32797403274027886,24
1.0,raw,signal_pearson,0.578598941717645,0.5510343625526134,0.6072776185047728,24
1.0,raw,signal_nrmse,0.1991903663147241,0.1925390202125224,0.20677231466009593,24
1.0,raw,background_fraction,0.31998411138844984,0.31220199029881274,0.32909534113452155,24
1.0,raw,registration_error_px,2.24653426806132,2.1134057600051164,2.385026411836346,24
